Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Owner,Supplier,Tier2,5L-20L,Daily,"Flexible, Plastic, Glass",Experience,"Supplier, Inventory, Cost",Medium,"High Cost, Breakage, Supplier Issues",Daily,1L+,Medium,"Paper, Biodegradable",Quality,"Cost Increase, Regulation, Complaints",10K-50K,5-10%,High,Operations,"Cost Dashboard, Forecasting, Performance",Very Likely,Yes
Operations,Cloud Kitchen,Tier1,1Cr+,Daily,"Biodegradable, Glass",No Process,,Medium,High Cost,Daily,20K-1L,High,"Premium, Biodegradable",Cost,"Supplier Issues, Cost Increase",10L+,20-30%,Low,Owner,"Cost Dashboard, Performance",Very Likely,Yes
Operations,Supplier,Tier2,20L-1Cr,Daily,"Biodegradable, Plastic, Paper",Vendor,Inventory,Medium,Supplier Issues,Weekly,5K-20K,High,"Paper, Premium, Biodegradable",Quality,Sustainability,2L-10L,30%+,Low,Multiple,"Forecasting, Performance",Likely,No
Operations,Cloud Kitchen,Tier2,5L-20L,Weekly,"Flexible, Paper, Glass",ERP,"Failures, Cost, Inventory",Medium,"Supplier Issues, Breakage, Storage",Daily,1L+,Medium,"Paper, Plastic",Quality,"Sustainability, Complaints, Regulation",10K-50K,10-20%,Low,Multiple,"Sustainability, Supplier Analytics",Likely,No
Owner,Manufacturer,Tier2,20L-1Cr,Monthly,Paper,Excel,,Medium,"Wastage, Breakage",Daily,20K-1L,Medium,Premium,Cost,"Sustainability, Regulation, Cost Increase",50K-2L,30%+,Low,Owner,"Performance, Sustainability",Very Likely,Yes
Operations,Restaurant,Tier1,<5L,Bulk,Flexible,Experience,Cost,High,"Wastage, High Cost",Monthly,<5K,Medium,"Paper, Recyclable",Sustainability,"Cost Increase, Complaints, Regulation",<10K,<5%,Medium,Owner,"Cost Dashboard, Forecasting, Supplier Analytics",Unlikely,Maybe
Operations,Manufacturer,Tier2,20L-1Cr,Bulk,"Plastic, Flexible",No Process,,Medium,"Breakage, Wastage",Rare,5K-20K,Medium,"Paper, Recyclable, Biodegradable",Cost,"Cost Increase, Supplier Issues, Complaints",2L-10L,20-30%,Low,Finance,"Cost Dashboard, Performance",Very Likely,Yes
Owner,Cloud Kitchen,Tier2,20L-1Cr,Monthly,Biodegradable,No Process,,Low,Wastage,Monthly,<5K,High,"Plastic, Recyclable, Paper",Cost,"Sustainability, Regulation, Cost Increase",2L-10L,10-20%,Low,Operations,Cost Dashboard,Likely,Maybe
Finance,Supplier,Tier3,5L-20L,Monthly,Paper,Experience,"Inventory, Failures",Medium,Wastage,Weekly,5K-20K,Medium,"Plastic, Recyclable, Premium",Branding,"Cost Increase, Sustainability",50K-2L,20-30%,Medium,Finance,"Cost Dashboard, Sustainability, Supplier Analytics",Unlikely,No
Finance,Restaurant,Tier2,20L-1Cr,Bulk,Paper,Excel,,Medium,"Sustainability, Supplier Issues",Rare,5K-20K,Low,Biodegradable,Quality,"Complaints, Sustainability",2L-10L,5-10%,Low,Finance,"Supplier Analytics, Performance, Cost Dashboard",Very Likely,Yes
